ID;DistributionTypes;EstateTypes;EstateSubTypes;ClassifiedBusiness;NumberOfRoomsMin;NumberOfRoomsMax;NumberOfBedroomsMin;NumberOfBedroomsMax;PriceMin;PriceMax;YearOfConstructionMin;YearOfConstructionMax;CertificateOfEligibilityNeeded;IsSaleGoodwill;FeaturesIncluded;BuildStates;LocationsInBuildingIncluded;LocationsInBuildingExcluded;Furnished;ProjectTypes;HiddenProjectTypes;EnergyCertificateClass;PagingOrder
35534;Buy;House;;;3;3;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
17240;Buy;Apartment;;;;;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
49633;Buy;House;;;;;;;;;;;;;Swimming_Pool;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
40180;Buy;Apartment;;;1;1;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
45227;Rent;Trading;Boutique;;;;;;;;;;;;;;;;;;;;DateDesc
25739;Buy;Apartment;;;;;;;;;;;;;;;Roof_Storey;;;;"New_Build,Resale,Life_Annuity";;DateDesc
99652;Rent;Apartment;;;5;5;;;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
98346;Buy;Agriculture_Forestry;Farm_Ranch;;;;;;;;;;;;;;;;;;;;DateDesc
30062;Buy;House;Farmhouse;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;PriceAsc
10776;Rent;House;;;;;;;;;;;;;Swimming_Pool;;;;;;;;DateDesc
54282;Buy;Apartment;;;;;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;PriceAsc
22959;;;;;;;;;;;;;;;;;;;;;;;DateDesc
42585;Buy;Apartment;;;;;2;2;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
19483;Rent;Gastronomy_Hotel;;;;;;;;;;;;;;;;;;;;;DateDesc
84324;Rent;House;;;;;1;1;;;;;;;;;;;;;;;DateDesc
62910;Rent;Apartment;;;;;;;;;;;;;;;Groundfloor;;;;"Flatsharing,Stock";;DateDesc
98669;Buy;Apartment;;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
89257;Rent;House;;;4;4;;;;;;;;;;;;;;;;;DateDesc
78746;Buy;Agriculture_Forestry;Winery;;;;;;;;;;;;;;;;;;;;DateDesc
67888;Rent;;;;;;;;;;;;;;;;;;;;;;DateDesc
19179;Buy;Plot;;;;;;;;;;;;;;;;;;;;;PriceAsc
68864;Buy;Building;;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale";;DateDesc
17218;Rent;House;;;3;3;;;;;;;;;;;;;;;;;DateDesc
90569;Rent;Apartment;;;;;;;;;;;;;;;;;;;"Flatsharing,Stock";;PriceAsc
53434;Buy;Apartment;;;;;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
92144;Buy;House;;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
45526;Rent;Apartment;;;;;2;2;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
31210;Rent;Apartment;;;1;2;;;;900;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
49815;Buy;House;;;5;5;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
83718;Rent;Gastronomy_Hotel;Restaurant;;;;;;;;;;;;;;;;;;;;DateDesc
11999;Buy;Apartment;;;;;3;3;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
63050;Buy;Apartment;;;1;1;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;PriceAsc
75457;Buy;Apartment;;;2;2;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
43362;Rent;Gastronomy_Hotel;Cafe_Bar_Pub;;;;;;;;;;;;;;;;;;;;DateDesc
88376;Buy;Building;;;;;;;;;;;;;;;;;;;"New_Build,Resale";;DateDesc
11251;Buy;House;;;;;3;3;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
61905;Buy;Apartment;;;;;;;;;;;;;;;;;;New_Build;;;DateDesc
35050;Rent;Apartment;;;;;3;3;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
18062;Buy;Apartment;;;;;;;;;;;;;Cellar;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
87079;Buy;House;Chalet;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
71109;Rent;House;Farmhouse;;;;;;;;;;;;;;;;;;;;DateDesc
48870;Buy;Apartment;;;;;;;;;;;;;;;;;;Life_Annuity;;;DateDesc
27689;Buy;House;Bungalow;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
45075;Buy;Apartment;;;;;;;;;;;;;Garden;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
51804;Rent;Apartment;;;;;;;;;;;;;Garden;;;;;;"Flatsharing,Stock";;DateDesc
41575;Rent;House;;;;;;;;;;;;;;;;;;;;;DateDesc
81041;Buy;House;Farmhouse;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
82848;Rent;House;;;;;;;;;;;;;Parking_Garage;;;;;;;;DateDesc
58096;Rent;House;;;;;5;5;;;;;;;;;;;;;;;DateDesc
55478;Buy;"House,Apartment";;;;;;;1000000;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
