ContextId,GeoLevels,LegacyUrlPattern,ExampleUrl
36247,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/immobilien/kaufen/immobilie-von-privat,https://immowelt.de/suche/deutschland/immobilien/kaufen/immobilie-von-privat
36327,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/grundstuecke/kaufen,https://immowelt.de/suche/deutschland/grundstuecke/kaufen
36442,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/bauernhaus,https://immowelt.de/suche/deutschland/haeuser/kaufen/bauernhaus
37314,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/bungalow,https://immowelt.de/suche/deutschland/haeuser/kaufen/bungalow
37531,Country|Region|Province|Municipality|Borough,/suche/{0}/garage-stellplatz/kaufen/stellplaetze-garagen-von-privat,https://immowelt.de/suche/deutschland/garage-stellplatz/kaufen/stellplaetze-garagen-von-privat
37735,Country|Region|Province|Municipality|Borough,/suche/{0}/wohnungen/mieten400,https://immowelt.de/suche/deutschland/wohnungen/mieten400
39002,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/haus-von-privat,https://immowelt.de/suche/deutschland/haeuser/kaufen/haus-von-privat
39607,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten?roomi=3&rooma=3,https://immowelt.de/suche/deutschland/wohnungen/mieten?roomi=3&rooma=3
39740,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/gastronomie-hotels/mieten,https://immowelt.de/suche/deutschland/gastronomie-hotels/mieten
40218,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/mieten/moebliertes-haus,https://immowelt.de/suche/deutschland/haeuser/mieten/moebliertes-haus
41195,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/kaufen?roomi=2&rooma=2,https://immowelt.de/suche/deutschland/wohnungen/kaufen?roomi=2&rooma=2
41962,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/mieten,https://immowelt.de/suche/deutschland/haeuser/mieten
42649,Country|Region|Province|Municipality|Borough,/suche/{0}/wohnungen/kaufen/wohnung-mit-garage,https://immowelt.de/suche/deutschland/wohnungen/kaufen/wohnung-mit-garage
43649,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/garage-stellplatz/mieten/aussen-stellplatz,https://immowelt.de/suche/deutschland/garage-stellplatz/mieten/aussen-stellplatz
44491,Region,/suche/{0}/landwirtschaft-forstwirtschaft/mieten/bauernhof,https://immowelt.de/suche/bl-bayern/landwirtschaft-forstwirtschaft/mieten/bauernhof
45430,Country|Region|Province|Municipality|Borough,/suche/{0}/landwirtschaft-forstwirtschaft/kaufen/bauernhof,https://immowelt.de/suche/deutschland/landwirtschaft-forstwirtschaft/kaufen/bauernhof
46645,Country|Region|Province|Municipality|Borough,/suche/{0}/garage-stellplatz/kaufen/tiefgarage,https://immowelt.de/suche/deutschland/garage-stellplatz/kaufen/tiefgarage
46891,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten/terrassenwohnung,https://immowelt.de/suche/deutschland/wohnungen/mieten/terrassenwohnung
47114,Country|Region|Province|Municipality|Borough,/suche/{0}/wohnungen/kaufen/wohnung-mit-garten,https://immowelt.de/suche/deutschland/wohnungen/kaufen/wohnung-mit-garten
48438,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten/guenstige-wohnung,https://immowelt.de/suche/deutschland/wohnungen/mieten/guenstige-wohnung
49002,Country|Region|Province|Municipality|Borough,/suche/{0}/wohnungen/kaufen/renovierungsbeduerftige-wohnung,https://immowelt.de/suche/deutschland/wohnungen/kaufen/renovierungsbeduerftige-wohnung
49225,Country|Region|Province|Municipality|Borough,/suche/{0}/mehrfamilienhaus-als-kapitalanlage/kaufen,https://immowelt.de/suche/deutschland/mehrfamilienhaus-als-kapitalanlage/kaufen
49447,Country|Region|Province|Municipality|Borough,/suche/{0}/immobilien/mieten/immobilie-von-privat,https://immowelt.de/suche/deutschland/immobilien/mieten/immobilie-von-privat
49766,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/neubauwohnung/kaufen,https://immowelt.de/suche/deutschland/neubauwohnung/kaufen
50191,Country|Region|Province|Municipality|Borough,/suche/{0}/gewerbegrundstuecke/kaufen,https://immowelt.de/suche/deutschland/gewerbegrundstuecke/kaufen
51690,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/mieten/stadthaus,https://immowelt.de/suche/deutschland/haeuser/mieten/stadthaus
52246,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/guenstiges-haus,https://immowelt.de/suche/deutschland/haeuser/kaufen/guenstiges-haus
