"ContextId","Alias","GeoLevel","LocationAvivGeoId","LocationName","LocationSlug","ExampleUrl","WhiteLabelUrl"
"56752","buy:apartment:roofstoreyonly","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/i/achat/immo-paris-75/bien-appartement/commodite-dernieretage/","https://www.seloger.com/recherche/achat/appartement/dernier-etage/ile-de-france/paris-75000/ad08fr31096"
"56752","buy:apartment:roofstoreyonly","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-appartement/commodite-dernieretage/","https://www.seloger.com/recherche/achat/appartement/dernier-etage/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"98041","buy:apartment:seaside","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/i/achat/bien-appartement/france/commodite-mer/","https://www.seloger.com/recherche/achat/appartement/bord-de-mer/france/ad02fr1"
"98041","buy:apartment:seaside","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/i/achat/bien-appartement/ile-de-france/commodite-mer/","https://www.seloger.com/recherche/achat/appartement/bord-de-mer/ile-de-france/ad04fr5"
"98041","buy:apartment:seaside","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/i/achat/75/bien-appartement/commodite-mer/","https://www.seloger.com/recherche/achat/appartement/bord-de-mer/ile-de-france/paris-75/ad06fr76"
"98041","buy:apartment:seaside","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/i/achat/immo-paris-75/bien-appartement/commodite-mer/","https://www.seloger.com/recherche/achat/appartement/bord-de-mer/ile-de-france/paris-75000/ad08fr31096"
"98041","buy:apartment:seaside","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-appartement/commodite-mer/","https://www.seloger.com/recherche/achat/appartement/bord-de-mer/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"11518","buy:apartment:swimmingpool","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/i/achat/bien-appartement/france/commodite-piscine/","https://www.seloger.com/recherche/achat/appartement/piscine/france/ad02fr1"
"11518","buy:apartment:swimmingpool","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/i/achat/bien-appartement/ile-de-france/commodite-piscine/","https://www.seloger.com/recherche/achat/appartement/piscine/ile-de-france/ad04fr5"
"11518","buy:apartment:swimmingpool","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/i/achat/75/bien-appartement/commodite-piscine/","https://www.seloger.com/recherche/achat/appartement/piscine/ile-de-france/paris-75/ad06fr76"
"11518","buy:apartment:swimmingpool","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/i/achat/immo-paris-75/bien-appartement/commodite-piscine/","https://www.seloger.com/recherche/achat/appartement/piscine/ile-de-france/paris-75000/ad08fr31096"
"11518","buy:apartment:swimmingpool","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-appartement/commodite-piscine/","https://www.seloger.com/recherche/achat/appartement/piscine/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"83067","buy:apartment:torenovate","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/i/achat/bien-appartement/france/commodite-travaux/","https://www.seloger.com/recherche/achat/appartement/a-renover/france/ad02fr1"
"83067","buy:apartment:torenovate","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/i/achat/bien-appartement/ile-de-france/commodite-travaux/","https://www.seloger.com/recherche/achat/appartement/a-renover/ile-de-france/ad04fr5"
"83067","buy:apartment:torenovate","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/i/achat/75/bien-appartement/commodite-travaux/","https://www.seloger.com/recherche/achat/appartement/a-renover/ile-de-france/paris-75/ad06fr76"
"83067","buy:apartment:torenovate","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/i/achat/immo-paris-75/bien-appartement/commodite-travaux/","https://www.seloger.com/recherche/achat/appartement/a-renover/ile-de-france/paris-75000/ad08fr31096"
"83067","buy:apartment:torenovate","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-appartement/commodite-travaux/","https://www.seloger.com/recherche/achat/appartement/a-renover/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"28653","buy:apartment:bedrooms-1","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-1-chambre/france.htm","https://www.seloger.com/recherche/achat/appartement/chambre-1/france/ad02fr1"
"28653","buy:apartment:bedrooms-1","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-1-chambre/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/chambre-1/ile-de-france/ad04fr5"
"28653","buy:apartment:bedrooms-1","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-1-chambre/","https://www.seloger.com/recherche/achat/appartement/chambre-1/ile-de-france/paris-75/ad06fr76"
"28653","buy:apartment:bedrooms-1","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-1-chambre/","https://www.seloger.com/recherche/achat/appartement/chambre-1/ile-de-france/paris-75000/ad08fr31096"
"28653","buy:apartment:bedrooms-1","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-1-chambre/","https://www.seloger.com/recherche/achat/appartement/chambre-1/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"93589","buy:apartment:bedrooms-2","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-2-chambres/france.htm","https://www.seloger.com/recherche/achat/appartement/chambre-2/france/ad02fr1"
"93589","buy:apartment:bedrooms-2","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-2-chambres/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/chambre-2/ile-de-france/ad04fr5"
"93589","buy:apartment:bedrooms-2","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-2-chambres/","https://www.seloger.com/recherche/achat/appartement/chambre-2/ile-de-france/paris-75/ad06fr76"
"93589","buy:apartment:bedrooms-2","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-2-chambres/","https://www.seloger.com/recherche/achat/appartement/chambre-2/ile-de-france/paris-75000/ad08fr31096"
"93589","buy:apartment:bedrooms-2","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-2-chambres/","https://www.seloger.com/recherche/achat/appartement/chambre-2/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"28365","buy:apartment:bedrooms-3","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-3-chambres/france.htm","https://www.seloger.com/recherche/achat/appartement/chambre-3/france/ad02fr1"
"28365","buy:apartment:bedrooms-3","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-3-chambres/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/chambre-3/ile-de-france/ad04fr5"
"28365","buy:apartment:bedrooms-3","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-3-chambres/","https://www.seloger.com/recherche/achat/appartement/chambre-3/ile-de-france/paris-75/ad06fr76"
"28365","buy:apartment:bedrooms-3","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-3-chambres/","https://www.seloger.com/recherche/achat/appartement/chambre-3/ile-de-france/paris-75000/ad08fr31096"
"28365","buy:apartment:bedrooms-3","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-3-chambres/","https://www.seloger.com/recherche/achat/appartement/chambre-3/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"24693","buy:apartment:bedrooms-4","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-4-chambres/france.htm","https://www.seloger.com/recherche/achat/appartement/chambre-4/france/ad02fr1"
