ContextId,GeoLevel,LegacyUrlPattern,ExampleUrl
15574,Municipality,/immobilier/i/achat/immo-{match2}/bien-appartement/commodite-cave/,https://www.seloger.com/immobilier/i/achat/immo-malakoff-92/bien-appartement/commodite-cave/
15574,Province,/immobilier/i/achat/{code}/bien-appartement/commodite-cave/,https://www.seloger.com/immobilier/i/achat/89/bien-appartement/commodite-cave/
15574,Region,/immobilier/i/achat/bien-appartement/{match1}/commodite-cave/,https://www.seloger.com/immobilier/i/achat/bien-appartement/bourgogne/commodite-cave/
15812,Borough,/immobilier/locations/immo-{match2}/bien-maison/type-5-pieces/,https://www.seloger.com/immobilier/locations/immo-paris-18eme-75/bien-maison/type-5-pieces/
15812,Country,/immobilier/pays/locations/bien-maison/type-5-pieces/{match2}.htm,https://www.seloger.com/immobilier/pays/locations/bien-maison/type-5-pieces/vienne.htm
15812,Municipality,/immobilier/locations/immo-{match2}/bien-maison/type-5-pieces/,https://www.seloger.com/immobilier/locations/immo-malakoff-92/bien-maison/type-5-pieces/
15812,Province,/immobilier/locations/{code}/bien-maison/type-5-pieces/,https://www.seloger.com/immobilier/locations/89/bien-maison/type-5-pieces/
15812,Region,/immobilier/locations/bien-maison/type-5-pieces/{match1}.htm,https://www.seloger.com/immobilier/locations/bien-maison/type-5-pieces/bourgogne.htm
16216,Borough,/immobilier/locations/particulier/immo-{match2}/bien-parking/,https://www.seloger.com/immobilier/locations/particulier/immo-paris-18eme-75/bien-parking/
16216,Country,/immobilier/pays/locations/particulier/bien-parking/{match2}.htm,https://www.seloger.com/immobilier/pays/locations/particulier/bien-parking/vienne.htm
16216,Municipality,/immobilier/locations/particulier/immo-{match2}/bien-parking/,https://www.seloger.com/immobilier/locations/particulier/immo-malakoff-92/bien-parking/
16216,Province,/immobilier/locations/particulier/{code}/bien-parking/,https://www.seloger.com/immobilier/locations/particulier/89/bien-parking/
16216,Region,/immobilier/locations/particulier/bien-parking/{match1}.htm,https://www.seloger.com/immobilier/locations/particulier/bien-parking/bourgogne.htm
16439,Borough,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/
16439,Country,/immobilier/pays/achat/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/vienne.htm
16439,MicroRegion,/immobilier/achat/,https://www.seloger.com/immobilier/achat/
16439,Municipality,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/
16439,Province,/immobilier/achat/{code}/,https://www.seloger.com/immobilier/achat/89/
16439,Region,/immobilier/achat/{match1}.htm,https://www.seloger.com/immobilier/achat/bourgogne.htm
16931,Borough,/immobilier/achat/immo-{match2}/bien-maison/type-5-pieces/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-maison/type-5-pieces/
16931,Country,/immobilier/pays/achat/bien-maison/type-5-pieces/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/bien-maison/type-5-pieces/vienne.htm
16931,Municipality,/immobilier/achat/immo-{match2}/bien-maison/type-5-pieces/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/bien-maison/type-5-pieces/
16931,Province,/immobilier/achat/{code}/bien-maison/type-5-pieces/,https://www.seloger.com/immobilier/achat/89/bien-maison/type-5-pieces/
16931,Region,/immobilier/achat/bien-maison/type-5-pieces/{match1}.htm,https://www.seloger.com/immobilier/achat/bien-maison/type-5-pieces/bourgogne.htm
16973,Borough,/immobilier/locations/immo-{match2}/,https://www.seloger.com/immobilier/locations/immo-paris-18eme-75/
16973,Country,/immobilier/pays/locations/{match2}.htm,https://www.seloger.com/immobilier/pays/locations/vienne.htm
16973,Municipality,/immobilier/locations/immo-{match2}/,https://www.seloger.com/immobilier/locations/immo-malakoff-92/
16973,Province,/immobilier/locations/{code}/,https://www.seloger.com/immobilier/locations/89/
16973,Region,/immobilier/locations/{match1}.htm,https://www.seloger.com/immobilier/locations/bourgogne.htm
17108,Borough,/immobilier/i/achat/immo-{match2}/bien-parking/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-parking/commodite-pascher/
17108,Country,/immobilier/pays/i/achat/bien-parking/{match2}/commodite-pascher/,https://www.seloger.com/immobilier/pays/i/achat/bien-parking/vienne/commodite-pascher/
17108,Municipality,/immobilier/i/achat/immo-{match2}/bien-parking/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/immo-malakoff-92/bien-parking/commodite-pascher/
17108,Province,/immobilier/i/achat/{code}/bien-parking/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/89/bien-parking/commodite-pascher/
17108,Region,/immobilier/i/achat/bien-parking/{match1}/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/bien-parking/bourgogne/commodite-pascher/
17127,Borough,/immobilier/locations/immo-{match2}/bien-appartement/type-2-pieces/,https://www.seloger.com/immobilier/locations/immo-paris-18eme-75/bien-appartement/type-2-pieces/
17127,Country,/immobilier/pays/locations/bien-appartement/type-2-pieces/{match2}.htm,https://www.seloger.com/immobilier/pays/locations/bien-appartement/type-2-pieces/vienne.htm
17127,Municipality,/immobilier/locations/immo-{match2}/bien-appartement/type-2-pieces/,https://www.seloger.com/immobilier/locations/immo-malakoff-92/bien-appartement/type-2-pieces/
17127,Province,/immobilier/locations/{code}/bien-appartement/type-2-pieces/,https://www.seloger.com/immobilier/locations/89/bien-appartement/type-2-pieces/
17127,Region,/immobilier/locations/bien-appartement/type-2-pieces/{match1}.htm,https://www.seloger.com/immobilier/locations/bien-appartement/type-2-pieces/bourgogne.htm
17163,Borough,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/
17163,Country,/immobilier/pays/achat/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/vienne.htm
17163,MicroRegion,/immobilier/achat/,https://www.seloger.com/immobilier/achat/
17163,Municipality,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/
17163,Province,/immobilier/achat/{code}/,https://www.seloger.com/immobilier/achat/89/
17163,Region,/immobilier/achat/{match1}.htm,https://www.seloger.com/immobilier/achat/bourgogne.htm
17783,Borough,/immobilier/i/achat/immo-{match2}/bien-maison/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-maison/commodite-pascher/
17783,Country,/immobilier/pays/i/achat/bien-maison/{match2}/commodite-pascher/,https://www.seloger.com/immobilier/pays/i/achat/bien-maison/vienne/commodite-pascher/
17783,Municipality,/immobilier/i/achat/immo-{match2}/bien-maison/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/immo-malakoff-92/bien-maison/commodite-pascher/
17783,Province,/immobilier/i/achat/{code}/bien-maison/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/89/bien-maison/commodite-pascher/
17783,Region,/immobilier/i/achat/bien-maison/{match1}/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/bien-maison/bourgogne/commodite-pascher/
17913,Borough,/immobilier/i/achat/immo-{match2}/bien-maison/commodite-piscine/,https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-maison/commodite-piscine/
17913,Country,/immobilier/pays/i/achat/bien-maison/{match2}/commodite-piscine/,https://www.seloger.com/immobilier/pays/i/achat/bien-maison/vienne/commodite-piscine/
17913,Municipality,/immobilier/i/achat/immo-{match2}/bien-maison/commodite-piscine/,https://www.seloger.com/immobilier/i/achat/immo-malakoff-92/bien-maison/commodite-piscine/
17913,Province,/immobilier/i/achat/{code}/bien-maison/commodite-piscine/,https://www.seloger.com/immobilier/i/achat/89/bien-maison/commodite-piscine/
17913,Region,/immobilier/i/achat/bien-maison/{match1}/commodite-piscine/,https://www.seloger.com/immobilier/i/achat/bien-maison/bourgogne/commodite-piscine/
18384,Borough,/immobilier/viagers/immo-{match2}/,https://www.seloger.com/immobilier/viagers/immo-paris-18eme-75/
18384,Country,/immobilier/pays/viagers/{match2}.htm,https://www.seloger.com/immobilier/pays/viagers/vienne.htm
18384,Municipality,/immobilier/viagers/immo-{match2}/,https://www.seloger.com/immobilier/viagers/immo-malakoff-92/
18384,Province,/immobilier/viagers/{code}/,https://www.seloger.com/immobilier/viagers/89/
18384,Region,/immobilier/viagers/{match1}.htm,https://www.seloger.com/immobilier/viagers/bourgogne.htm
18820,Borough,/immobilier/i/locations/immo-{match2}/bien-appartement/commodite-cave/,https://www.seloger.com/immobilier/i/locations/immo-paris-18eme-75/bien-appartement/commodite-cave/
18820,Country,/immobilier/pays/i/locations/bien-appartement/{match2}/commodite-cave/,https://www.seloger.com/immobilier/pays/i/locations/bien-appartement/vienne/commodite-cave/
18820,Municipality,/immobilier/i/locations/immo-{match2}/bien-appartement/commodite-cave/,https://www.seloger.com/immobilier/i/locations/immo-malakoff-92/bien-appartement/commodite-cave/
18820,Province,/immobilier/i/locations/{code}/bien-appartement/commodite-cave/,https://www.seloger.com/immobilier/i/locations/89/bien-appartement/commodite-cave/
18820,Region,/immobilier/i/locations/bien-appartement/{match1}/commodite-cave/,https://www.seloger.com/immobilier/i/locations/bien-appartement/bourgogne/commodite-cave/
18867,Borough,/immobilier/achat/immo-{match2}/bien-appartement/type-2-pieces/commodite-pascher/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-2-pieces/commodite-pascher/
18867,Country,/immobilier/pays/achat/bien-appartement/type-2-pieces/{match2}/commodite-pascher/,https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-2-pieces/vienne/commodite-pascher/
18867,Municipality,/immobilier/achat/immo-{match2}/bien-appartement/type-2-pieces/commodite-pascher/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/bien-appartement/type-2-pieces/commodite-pascher/
18867,Province,/immobilier/achat/{code}/bien-appartement/type-2-pieces/commodite-pascher/,https://www.seloger.com/immobilier/achat/89/bien-appartement/type-2-pieces/commodite-pascher/
18867,Region,/immobilier/achat/bien-appartement/type-2-pieces/commodite-pascher/{match1}.htm,https://www.seloger.com/immobilier/achat/bien-appartement/type-2-pieces/commodite-pascher/bourgogne.htm
18917,Borough,/immobilier/locations/immo-{match2}/bien-appartement/type-3-pieces/,https://www.seloger.com/immobilier/locations/immo-paris-18eme-75/bien-appartement/type-3-pieces/
18917,Country,/immobilier/pays/locations/bien-appartement/type-3-pieces/{match2}.htm,https://www.seloger.com/immobilier/pays/locations/bien-appartement/type-3-pieces/vienne.htm
18917,Municipality,/immobilier/locations/immo-{match2}/bien-appartement/type-3-pieces/,https://www.seloger.com/immobilier/locations/immo-malakoff-92/bien-appartement/type-3-pieces/
18917,Province,/immobilier/locations/{code}/bien-appartement/type-3-pieces/,https://www.seloger.com/immobilier/locations/89/bien-appartement/type-3-pieces/
18917,Region,/immobilier/locations/bien-appartement/type-3-pieces/{match1}.htm,https://www.seloger.com/immobilier/locations/bien-appartement/type-3-pieces/bourgogne.htm
18987,Borough,/immobilier/locations/immo-{match2}/,https://www.seloger.com/immobilier/locations/immo-paris-18eme-75/
18987,Country,/immobilier/pays/locations/{match2}.htm,https://www.seloger.com/immobilier/pays/locations/vienne.htm
18987,MicroRegion,/immobilier/locations/,https://www.seloger.com/immobilier/locations/
18987,Municipality,/immobilier/locations/immo-{match2}/,https://www.seloger.com/immobilier/locations/immo-malakoff-92/
18987,Province,/immobilier/locations/{code}/,https://www.seloger.com/immobilier/locations/89/
18987,Region,/immobilier/locations/{match1}.htm,https://www.seloger.com/immobilier/locations/bourgogne.htm
19159,Borough,/immobilier/achat/immo-{match2}/bien-loft/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-loft/
19159,Country,/immobilier/pays/achat/bien-loft/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/bien-loft/vienne.htm
19159,MicroNeighborhood,/immobilier/achat/immo-{match2}/bien-loft/,https://www.seloger.com/immobilier/achat/immo-cap-ferret-33/bien-loft/
19159,Municipality,/immobilier/achat/immo-{match2}/bien-loft/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/bien-loft/
19159,Neighborhood,/immobilier/achat/immo-{match1}/{match2}/bien-loft/,https://www.seloger.com/immobilier/achat/immo-paris-11eme-75/quartier-bastille-popincourt/bien-loft/
19159,Province,/immobilier/achat/{code}/bien-loft/,https://www.seloger.com/immobilier/achat/89/bien-loft/
19159,Region,/immobilier/achat/bien-loft/{match1}.htm,https://www.seloger.com/immobilier/achat/bien-loft/bourgogne.htm
19483,Borough,/immobilier/locations/immo-{match2}/,https://www.seloger.com/immobilier/locations/immo-paris-18eme-75/
19483,Country,/immobilier/pays/locations/{match2}.htm,https://www.seloger.com/immobilier/pays/locations/vienne.htm
19483,Municipality,/immobilier/locations/immo-{match2}/,https://www.seloger.com/immobilier/locations/immo-malakoff-92/
19483,Province,/immobilier/locations/{code}/,https://www.seloger.com/immobilier/locations/89/
19483,Region,/immobilier/locations/{match1}.htm,https://www.seloger.com/immobilier/locations/bourgogne.htm
20514,Borough,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/
20514,Country,/immobilier/pays/achat/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/vienne.htm
20514,MicroRegion,/immobilier/achat/,https://www.seloger.com/immobilier/achat/
20514,Municipality,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/
20514,Province,/immobilier/achat/{code}/,https://www.seloger.com/immobilier/achat/89/
20514,Region,/immobilier/achat/{match1}.htm,https://www.seloger.com/immobilier/achat/bourgogne.htm
20526,Borough,/immobilier/achat/immo-{match2}/bien-maison/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-maison/
20526,Country,/immobilier/pays/achat/bien-maison/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/bien-maison/vienne.htm
20526,MicroNeighborhood,/immobilier/achat/immo-{match2}/bien-maison/,https://www.seloger.com/immobilier/achat/immo-cap-ferret-33/bien-maison/
20526,Municipality,/immobilier/achat/immo-{match2}/bien-maison/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/bien-maison/
20526,Neighborhood,/immobilier/achat/immo-{match1}/{match2}/bien-maison/,https://www.seloger.com/immobilier/achat/immo-paris-11eme-75/quartier-bastille-popincourt/bien-maison/
20526,Province,/immobilier/achat/{code}/bien-maison/,https://www.seloger.com/immobilier/achat/89/bien-maison/
20526,Region,/immobilier/achat/bien-maison/{match1}.htm,https://www.seloger.com/immobilier/achat/bien-maison/bourgogne.htm
20628,Borough,/immobilier/locations/immo-{match2}/bien-maison/type-meuble/,https://www.seloger.com/immobilier/locations/immo-paris-18eme-75/bien-maison/type-meuble/
20628,Country,/immobilier/pays/locations/bien-maison/type-meuble/{match2}.htm,https://www.seloger.com/immobilier/pays/locations/bien-maison/type-meuble/vienne.htm
20628,Municipality,/immobilier/locations/immo-{match2}/bien-maison/type-meuble/,https://www.seloger.com/immobilier/locations/immo-malakoff-92/bien-maison/type-meuble/
20628,Province,/immobilier/locations/{code}/bien-maison/type-meuble/,https://www.seloger.com/immobilier/locations/89/bien-maison/type-meuble/
20628,Region,/immobilier/locations/bien-maison/type-meuble/{match1}.htm,https://www.seloger.com/immobilier/locations/bien-maison/type-meuble/bourgogne.htm
20697,Borough,/immobilier/i/achat/immo-{match2}/bien-appartement/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-appartement/commodite-pascher/
20697,Country,/immobilier/pays/i/achat/bien-appartement/{match2}/commodite-pascher/,https://www.seloger.com/immobilier/pays/i/achat/bien-appartement/vienne/commodite-pascher/
20697,Municipality,/immobilier/i/achat/immo-{match2}/bien-appartement/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/immo-malakoff-92/bien-appartement/commodite-pascher/
20697,Province,/immobilier/i/achat/{code}/bien-appartement/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/89/bien-appartement/commodite-pascher/
